"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.068910598E0,-2.325000048E0,1.958749962E1,-2.188750076E1,2.946418939E1
3.078910598E0,-2.400000095E0,1.957500076E1,-2.203750038E1,2.957350298E1
3.088910598E0,-2.487499952E0,1.956250000E1,-2.214999962E1,2.965639131E1
3.098910598E0,-2.525000095E0,1.957500076E1,-2.218750000E1,2.969581514E1
3.108910598E0,-2.537500143E0,1.960000038E1,-2.222500038E1,2.974137798E1
3.118910598E0,-2.549999952E0,1.957500076E1,-2.223750114E1,2.973532599E1
3.128910598E0,-2.575000048E0,1.951250076E1,-2.226250076E1,2.971510140E1
3.138910598E0,-2.612499952E0,1.948750114E1,-2.233749962E1,2.975822149E1
3.148910598E0,-2.625000000E0,1.951250076E1,-2.222500038E1,2.969139527E1
3.158910598E0,-2.600000143E0,1.953750038E1,-2.203750038E1,2.956561085E1
3.168910598E0,-2.600000143E0,1.953750038E1,-2.201250076E1,2.954698143E1
3.178910598E0,-2.587500095E0,1.951250076E1,-2.205000114E1,2.955732385E1
3.188910598E0,-2.575000048E0,1.950000000E1,-2.211250114E1,2.959465040E1
3.198910598E0,-2.575000048E0,1.950000000E1,-2.223750114E1,2.968816401E1
3.208910598E0,-2.600000143E0,1.950000000E1,-2.227499962E1,2.971843887E1
3.218910598E0,-2.549999952E0,1.955000114E1,-2.225000000E1,2.972822808E1
3.228910598E0,-2.500000000E0,1.953750038E1,-2.233749962E1,2.978133325E1
3.238910598E0,-2.487499952E0,1.951250076E1,-2.246249962E1,2.985781692E1
3.248910598E0,-2.475000143E0,1.951250076E1,-2.245000076E1,2.984737586E1
3.258910598E0,-2.500000000E0,1.948750114E1,-2.241250038E1,2.980491359E1
