"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.241486159E1,-4.000000000E0,-5.919999695E1,-3.729999924E1
3.242495244E1,-4.100000381E0,-5.930000305E1,-3.729999924E1
3.243491071E1,-4.100000381E0,-5.930000305E1,-3.740000153E1
3.244486982E1,-4.200000763E0,-5.939999390E1,-3.740000153E1
3.245497002E1,-4.200000763E0,-5.939999390E1,-3.740000153E1
3.246485106E1,-4.200000763E0,-5.950000000E1,-3.740000153E1
3.247493163E1,-4.200000763E0,-5.950000000E1,-3.740000153E1
3.248514344E1,-4.299999237E0,-5.950000000E1,-3.750000000E1
3.249489125E1,-4.399999619E0,-5.960000610E1,-3.759999847E1
3.250487702E1,-4.399999619E0,-5.969999695E1,-3.759999847E1
3.251543702E1,-4.500000000E0,-5.980000305E1,-3.759999847E1
3.252491179E1,-4.399999619E0,-5.969999695E1,-3.759999847E1
3.253490663E1,-4.500000000E0,-5.980000305E1,-3.770000076E1
3.254497921E1,-4.500000000E0,-5.980000305E1,-3.770000076E1
3.255495394E1,-4.399999619E0,-5.969999695E1,-3.770000076E1
3.256486356E1,-4.399999619E0,-5.969999695E1,-3.770000076E1
3.257532763E1,-4.399999619E0,-5.969999695E1,-3.770000076E1
3.258495371E1,-4.500000000E0,-5.980000305E1,-3.779999924E1
3.259488490E1,-4.500000000E0,-5.980000305E1,-3.779999924E1
3.260499140E1,-4.500000000E0,-5.989999390E1,-3.770000076E1
3.261588071E1,-4.500000000E0,-5.989999390E1,-3.770000076E1
3.262486348E1,-4.500000000E0,-5.989999390E1,-3.779999924E1
3.263501613E1,-4.600000381E0,-5.989999390E1,-3.779999924E1
3.264487728E1,-4.600000381E0,-5.989999390E1,-3.779999924E1
3.265491986E1,-4.600000381E0,-5.989999390E1,-3.779999924E1
3.266494328E1,-4.600000381E0,-5.989999390E1,-3.790000153E1
3.267487013E1,-4.600000381E0,-5.989999390E1,-3.779999924E1
3.268484606E1,-4.500000000E0,-5.980000305E1,-3.790000153E1
3.269528648E1,-4.600000381E0,-5.989999390E1,-3.790000153E1
3.270488402E1,-4.600000381E0,-5.989999390E1,-3.800000000E1
3.271496482E1,-4.600000381E0,-5.989999390E1,-3.800000000E1
3.272496528E1,-4.500000000E0,-5.980000305E1,-3.790000153E1
3.273499594E1,-4.500000000E0,-5.980000305E1,-3.790000153E1
3.274487248E1,-4.399999619E0,-5.969999695E1,-3.779999924E1
3.275515075E1,-4.299999237E0,-5.969999695E1,-3.790000153E1
3.276488556E1,-4.200000763E0,-5.960000610E1,-3.770000076E1
3.277490452E1,-4.100000381E0,-5.960000610E1,-3.770000076E1
3.278556694E1,-4.100000381E0,-5.950000000E1,-3.770000076E1
3.279489725E1,-4.100000381E0,-5.950000000E1,-3.759999847E1
3.280485094E1,-4.000000000E0,-5.939999390E1,-3.750000000E1
3.281496817E1,-4.000000000E0,-5.939999390E1,-3.750000000E1
3.282552675E1,-4.000000000E0,-5.939999390E1,-3.750000000E1
3.283488306E1,-4.000000000E0,-5.930000305E1,-3.740000153E1
3.284541759E1,-4.000000000E0,-5.930000305E1,-3.740000153E1
3.285499975E1,-3.899999619E0,-5.930000305E1,-3.729999924E1
3.286489825E1,-3.899999619E0,-5.930000305E1,-3.729999924E1
3.287547367E1,-3.899999619E0,-5.919999695E1,-3.729999924E1
3.288495044E1,-3.899999619E0,-5.919999695E1,-3.729999924E1
3.289580679E1,-3.899999619E0,-5.919999695E1,-3.729999924E1
3.290519359E1,-3.899999619E0,-5.919999695E1,-3.740000153E1
3.291495098E1,-3.899999619E0,-5.930000305E1,-3.750000000E1
3.292484132E1,-4.000000000E0,-5.930000305E1,-3.750000000E1
3.293502671E1,-4.000000000E0,-5.939999390E1,-3.759999847E1
3.294484575E1,-4.200000763E0,-5.950000000E1,-3.779999924E1
3.295486594E1,-4.299999237E0,-5.960000610E1,-3.779999924E1
3.296509652E1,-4.200000763E0,-5.960000610E1,-3.770000076E1
3.297484398E1,-4.200000763E0,-5.960000610E1,-3.770000076E1
3.298503540E1,-4.200000763E0,-5.950000000E1,-3.770000076E1
3.299545525E1,-4.200000763E0,-5.950000000E1,-3.759999847E1
3.300484913E1,-4.200000763E0,-5.950000000E1,-3.759999847E1
3.301488967E1,-4.100000381E0,-5.950000000E1,-3.759999847E1
3.302491805E1,-4.100000381E0,-5.939999390E1,-3.759999847E1
3.303490775E1,-4.100000381E0,-5.939999390E1,-3.750000000E1
3.304490663E1,-4.100000381E0,-5.939999390E1,-3.750000000E1
3.305497775E1,-4.000000000E0,-5.939999390E1,-3.750000000E1
3.306489279E1,-4.100000381E0,-5.939999390E1,-3.750000000E1
3.307486898E1,-4.200000763E0,-5.950000000E1,-3.759999847E1
3.308498982E1,-4.100000381E0,-5.939999390E1,-3.759999847E1
3.309486375E1,-4.000000000E0,-5.939999390E1,-3.759999847E1
3.310485363E1,-4.000000000E0,-5.930000305E1,-3.770000076E1
3.311645132E1,-4.000000000E0,-5.930000305E1,-3.759999847E1
3.312485559E1,-3.899999619E0,-5.930000305E1,-3.759999847E1
3.313492944E1,-3.899999619E0,-5.930000305E1,-3.759999847E1
3.314498759E1,-3.799999237E0,-5.930000305E1,-3.750000000E1
3.315491790E1,-3.899999619E0,-5.930000305E1,-3.759999847E1
3.316489309E1,-3.899999619E0,-5.930000305E1,-3.759999847E1
3.317493086E1,-3.899999619E0,-5.930000305E1,-3.759999847E1
3.318487159E1,-3.899999619E0,-5.930000305E1,-3.759999847E1
