"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.865026610E-1,1.453639716E-1,-1.124626622E-1,9.869794846E0,9.871505905E0
5.890021920E-1,1.884347796E-1,-1.028913707E-1,9.908080101E0,9.910405925E0
5.915016710E-1,1.501496136E-1,-1.459621787E-1,9.884152412E0,9.886370354E0
5.940012030E-1,1.549352705E-1,-1.555334777E-1,9.912865639E0,9.915296303E0
5.965007340E-1,1.932204217E-1,-1.507478207E-1,9.874580383E0,9.877621008E0
5.989997960E-1,1.980060786E-1,-1.316052526E-1,9.941579819E0,9.944422338E0
6.014907860E-1,1.262213886E-1,-1.363908947E-1,9.965508461E0,9.967241002E0
6.039817230E-1,1.645065546E-1,-1.746760458E-1,9.912865639E0,9.915769224E0
6.064807860E-1,1.645065546E-1,-1.220339537E-1,9.922437668E0,9.924551575E0
6.089798480E-1,1.501496136E-1,-1.603191197E-1,9.908080101E0,9.910514538E0
6.114788590E-1,1.501496136E-1,-1.603191197E-1,9.951150894E0,9.953574797E0
6.139779210E-1,1.645065546E-1,-1.316052526E-1,9.955936432E0,9.958165121E0
6.164769840E-1,1.740778536E-1,-1.603191197E-1,9.922437668E0,9.925259422E0
6.189765150E-1,1.788634956E-1,-1.411765367E-1,9.946365356E0,9.948975162E0
6.214842230E-1,1.884347796E-1,-1.411765367E-1,9.917651176E0,9.920445723E0
6.239919320E-1,1.405783296E-1,-1.411765367E-1,9.888937950E0,9.890944690E0
6.264914630E-1,1.740778536E-1,-1.507478207E-1,9.864411354E0,9.867098832E0
6.289909420E-1,1.788634956E-1,-1.555334777E-1,9.917651176E0,9.920483238E0
6.314904210E-1,1.740778536E-1,-1.363908947E-1,9.922437668E0,9.924901755E0
6.339899530E-1,2.075773627E-1,-1.507478207E-1,9.922437668E0,9.925753500E0
6.364894840E-1,1.836491376E-1,-1.363908947E-1,9.912865639E0,9.915504760E0
6.389881300E-1,1.310070455E-1,-1.076770201E-1,9.884152412E0,9.885607017E0
6.414711500E-1,1.022931710E-1,-1.555334777E-1,9.903294563E0,9.905044057E0
6.439541710E-1,1.692921966E-1,-1.459621787E-1,9.893723488E0,9.896248242E0
6.464528170E-1,9.750752151E-2,-1.316052526E-1,9.932008743E0,9.933359217E0
6.489514110E-1,1.740778536E-1,-1.316052526E-1,9.864411354E0,9.866824940E0
6.514500050E-1,1.932204217E-1,-1.220339537E-1,9.888937950E0,9.891578246E0
6.539486500E-1,1.645065546E-1,-1.316052526E-1,9.936794281E0,9.939027263E0
6.564472440E-1,2.362912297E-1,-1.698904037E-1,9.898509026E0,9.902786336E0
6.589467750E-1,2.267199457E-1,-1.268195957E-1,9.960722923E0,9.964109910E0
6.614619320E-1,2.123630047E-1,-1.363908947E-1,9.946365356E0,9.949567042E0
6.639770360E-1,2.219343036E-1,-1.603191197E-1,9.989436150E0,9.993187261E0
6.664765670E-1,2.027917206E-1,-1.459621787E-1,9.946365356E0,9.949503166E0
6.689760980E-1,1.788634956E-1,-1.603191197E-1,9.903294563E0,9.906207023E0
6.714755780E-1,1.788634956E-1,-1.411765367E-1,9.888937950E0,9.891562907E0
6.739751090E-1,1.549352705E-1,-1.507478207E-1,9.932008743E0,9.934360952E0
6.764746400E-1,1.932204217E-1,-1.411765367E-1,9.898509026E0,9.901401208E0
6.789740670E-1,1.453639716E-1,-1.555334777E-1,9.874580383E0,9.876874966E0
6.814713590E-1,1.932204217E-1,-1.411765367E-1,9.888937950E0,9.891832931E0
6.839686500E-1,2.027917206E-1,-1.555334777E-1,9.917651176E0,9.920943504E0
6.864680780E-1,1.740778536E-1,-1.268195957E-1,9.908080101E0,9.910420657E0
6.889674530E-1,1.980060786E-1,-1.316052526E-1,9.903294563E0,9.906148069E0
6.914668280E-1,2.027917206E-1,-1.555334777E-1,9.893723488E0,9.897023775E0
6.939662550E-1,1.788634956E-1,-1.603191197E-1,9.927223206E0,9.930128647E0
6.964656300E-1,1.836491376E-1,-8.374879509E-2,9.941579819E0,9.943628621E0
6.989650570E-1,1.501496136E-1,-1.459621787E-1,9.936794281E0,9.939000475E0
7.014644840E-1,1.836491376E-1,-1.172483116E-1,9.917651176E0,9.920044306E0
7.039638590E-1,2.027917206E-1,-1.172483116E-1,9.908080101E0,9.910848750E0
7.064635460E-1,1.597209126E-1,-1.555334777E-1,9.917651176E0,9.920156566E0
7.089756820E-1,2.027917206E-1,-1.651047617E-1,9.903294563E0,9.906746553E0
7.114753690E-1,1.884347796E-1,-1.172483116E-1,9.941579819E0,9.944056724E0
7.139750050E-1,1.453639716E-1,-1.507478207E-1,9.927223206E0,9.929431815E0
7.164745880E-1,2.027917206E-1,-1.507478207E-1,9.932008743E0,9.935222547E0
7.189742750E-1,2.075773627E-1,-1.555334777E-1,9.975079536E0,9.978451322E0
7.214739630E-1,1.788634956E-1,-1.316052526E-1,9.936794281E0,9.939275259E0
7.239735980E-1,1.405783296E-1,-1.363908947E-1,9.893723488E0,9.895662140E0
7.264725570E-1,1.645065546E-1,-1.507478207E-1,9.951150894E0,9.953652165E0
7.289471400E-1,1.405783296E-1,-1.651047617E-1,9.955936432E0,9.958297650E0
7.314460980E-1,1.645065546E-1,-1.172483116E-1,9.941579819E0,9.943632076E0
7.339450570E-1,1.980060786E-1,-1.268195957E-1,9.917651176E0,9.920438220E0
7.364440150E-1,1.597209126E-1,-1.459621787E-1,9.932008743E0,9.934365274E0
7.389429730E-1,1.597209126E-1,-1.890329868E-1,9.932008743E0,9.935091440E0
7.414419840E-1,1.453639716E-1,-9.810572863E-2,9.955936432E0,9.957480889E0
7.439409420E-1,1.645065546E-1,-1.890329868E-1,9.912865639E0,9.916032526E0
7.464403170E-1,1.549352705E-1,-1.411765367E-1,9.941579819E0,9.943789270E0
7.489542230E-1,1.884347796E-1,-1.220339537E-1,9.936794281E0,9.939329984E0
7.514535980E-1,1.645065546E-1,-1.172483116E-1,9.908080101E0,9.910139296E0
7.539529730E-1,1.932204217E-1,-1.411765367E-1,9.884152412E0,9.887048794E0
7.564523480E-1,1.884347796E-1,-1.411765367E-1,9.912865639E0,9.915661534E0
7.589517230E-1,1.405783296E-1,-1.124626622E-1,9.912865639E0,9.914500254E0
7.614510980E-1,1.453639716E-1,-1.651047617E-1,9.908080101E0,9.910521760E0
7.639504730E-1,1.884347796E-1,-1.028913707E-1,9.927223206E0,9.929544545E0
7.664496920E-1,1.597209126E-1,-1.507478207E-1,9.932008743E0,9.934436741E0
7.689462030E-1,1.740778536E-1,-1.459621787E-1,9.941579819E0,9.944175046E0
7.714427130E-1,1.980060786E-1,-1.459621787E-1,9.898509026E0,9.901565144E0
7.739419320E-1,1.453639716E-1,-1.363908947E-1,9.917651176E0,9.919654128E0
7.764410980E-1,2.027917206E-1,-1.363908947E-1,9.927223206E0,9.930230991E0
7.789403170E-1,1.932204217E-1,-1.651047617E-1,9.927223206E0,9.930476035E0
7.814395880E-1,1.836491376E-1,-1.124626622E-1,9.951150894E0,9.953480747E0
7.839388070E-1,1.788634956E-1,-1.316052526E-1,9.908080101E0,9.910568267E0
7.864378690E-1,1.836491376E-1,-1.076770201E-1,9.927223206E0,9.929505623E0
7.889344320E-1,2.219343036E-1,-1.363908947E-1,9.874580383E0,9.878015745E0
7.914309940E-1,1.740778536E-1,-1.794617027E-1,9.903294563E0,9.906450061E0
7.939300570E-1,1.692921966E-1,-1.507478207E-1,9.898509026E0,9.901104266E0
7.964291190E-1,2.171486616E-1,-1.459621787E-1,9.898509026E0,9.901966442E0
7.989281820E-1,2.123630047E-1,-1.507478207E-1,9.912865639E0,9.916286004E0
8.014272960E-1,1.884347796E-1,-1.076770201E-1,9.888937950E0,9.891319214E0
