"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.632155040E0,-2.455253839E0,6.410475254E0,6.688202381E0
4.642194697E0,-2.469619036E0,6.410475254E0,6.669048786E0
4.652141860E0,-2.455253839E0,6.400898457E0,6.707355976E0
4.662269919E0,-2.450465441E0,6.410475254E0,6.664260387E0
4.672191798E0,-2.455253839E0,6.415263653E0,6.688202381E0
4.682305946E0,-2.450465441E0,6.381744862E0,6.673837185E0
4.692351562E0,-2.460042238E0,6.405686855E0,6.692990780E0
4.702374772E0,-2.450465441E0,6.420052052E0,6.673837185E0
4.712362265E0,-2.455253839E0,6.429628849E0,6.678625584E0
4.722376606E0,-2.455253839E0,6.420052052E0,6.692990780E0
4.732350349E0,-2.440888643E0,6.405686855E0,6.659471989E0
4.742422776E0,-2.450465441E0,6.415263653E0,6.707355976E0
4.752460079E0,-2.450465441E0,6.410475254E0,6.683413982E0
4.762491090E0,-2.455253839E0,6.410475254E0,6.664260387E0
4.772513053E0,-2.445677042E0,6.420052052E0,6.664260387E0
4.782590346E0,-2.445677042E0,6.410475254E0,6.659471989E0
4.792525123E0,-2.445677042E0,6.434417248E0,6.673837185E0
4.802599936E0,-2.455253839E0,6.410475254E0,6.716932774E0
4.812621513E0,-2.440888643E0,6.420052052E0,6.673837185E0
4.822726811E0,-2.445677042E0,6.420052052E0,6.659471989E0
4.832736022E0,-2.436100245E0,6.400898457E0,6.664260387E0
4.842710314E0,-2.464830637E0,6.400898457E0,6.702567577E0
4.852684384E0,-2.450465441E0,6.439205647E0,6.669048786E0
4.862776242E0,-2.436100245E0,6.396110058E0,6.649895191E0
4.872784917E0,-2.445677042E0,6.386533260E0,6.669048786E0
4.882820662E0,-2.450465441E0,6.424840450E0,6.654683590E0
4.892800722E0,-2.450465441E0,6.420052052E0,6.673837185E0
4.902866147E0,-2.436100245E0,6.396110058E0,6.673837185E0
4.912853813E0,-2.464830637E0,6.400898457E0,6.654683590E0
4.922982731E0,-2.431311846E0,6.405686855E0,6.697779179E0
4.932911994E0,-2.445677042E0,6.396110058E0,6.688202381E0
4.942996642E0,-2.460042238E0,6.405686855E0,6.678625584E0
4.953069254E0,-2.455253839E0,6.424840450E0,6.673837185E0
4.963000486E0,-2.455253839E0,6.400898457E0,6.692990780E0
